2022-03-14 19:06:46 status half-installed binutils:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked binutils:amd64 2.35.2-2
2022-03-14 19:06:46 install libisl23:amd64 <none> 0.23-1
2022-03-14 19:06:46 status half-installed libisl23:amd64 0.23-1
2022-03-14 19:06:46 status unpacked libisl23:amd64 0.23-1
2022-03-14 19:06:46 install libmpfr6:amd64 <none> 4.1.0-3
2022-03-14 19:06:46 status half-installed libmpfr6:amd64 4.1.0-3
2022-03-14 19:06:47 status unpacked libmpfr6:amd64 4.1.0-3
2022-03-14 19:06:47 install libmpc3:amd64 <none> 1.2.0-1
2022-03-14 19:06:47 status half-installed libmpc3:amd64 1.2.0-1
2022-03-14 19:06:47 status unpacked libmpc3:amd64 1.2.0-1
2022-03-14 19:06:47 install cpp-10:amd64 <none> 10.2.1-6
2022-03-14 19:06:47 status half-installed cpp-10:amd64 10.2.1-6
2022-03-14 19:06:47 status unpacked cpp-10:amd64 10.2.1-6
2022-03-14 19:06:47 install cpp:amd64 <none> 4:10.2.1-1
2022-03-14 19:06:47 status half-installed cpp:amd64 4:10.2.1-1
2022-03-14 19:06:47 status unpacked cpp:amd64 4:10.2.1-1
2022-03-14 19:06:47 install libassuan0:amd64 <none> 2.5.3-7.1
2022-03-14 19:06:47 status half-installed libassuan0:amd64 2.5.3-7.1
2022-03-14 19:06:47 status unpacked libassuan0:amd64 2.5.3-7.1
2022-03-14 19:06:47 install gpgconf:amd64 <none> 2.2.27-2
2022-03-14 19:06:47 status half-installed gpgconf:amd64 2.2.27-2
2022-03-14 19:06:47 status unpacked gpgconf:amd64 2.2.27-2
2022-03-14 19:06:47 install libksba8:amd64 <none> 1.5.0-3
2022-03-14 19:06:47 status half-installed libksba8:amd64 1.5.0-3
2022-03-14 19:06:47 status unpacked libksba8:amd64 1.5.0-3
2022-03-14 19:06:48 install libnpth0:amd64 <none> 1.6-3
2022-03-14 19:06:48 status half-installed libnpth0:amd64 1.6-3
2022-03-14 19:06:48 status unpacked libnpth0:amd64 1.6-3
2022-03-14 19:06:48 install dirmngr:amd64 <none> 2.2.27-2
2022-03-14 19:06:48 status half-installed dirmngr:amd64 2.2.27-2
2022-03-14 19:06:48 status unpacked dirmngr:amd64 2.2.27-2
2022-03-14 19:06:48 install libdpkg-perl:all <none> 1.20.9
2022-03-14 19:06:48 status half-installed libdpkg-perl:all 1.20.9
2022-03-14 19:06:48 status unpacked libdpkg-perl:all 1.20.9
2022-03-14 19:06:48 install patch:amd64 <none> 2.7.6-7
2022-03-14 19:06:48 status half-installed patch:amd64 2.7.6-7
2022-03-14 19:06:48 status unpacked patch:amd64 2.7.6-7
2022-03-14 19:06:48 install make:amd64 <none> 4.3-4.1
2022-03-14 19:06:48 status half-installed make:amd64 4.3-4.1
2022-03-14 19:06:48 status unpacked make:amd64 4.3-4.1
2022-03-14 19:06:48 install dpkg-dev:all <none> 1.20.9
2022-03-14 19:06:48 status half-installed dpkg-dev:all 1.20.9
2022-03-14 19:06:48 status unpacked dpkg-dev:all 1.20.9
2022-03-14 19:06:48 install libcc1-0:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libcc1-0:amd64 10.2.1-6
2022-03-14 19:06:48 status unpacked libcc1-0:amd64 10.2.1-6
2022-03-14 19:06:48 install libgomp1:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libgomp1:amd64 10.2.1-6
2022-03-14 19:06:48 status unpacked libgomp1:amd64 10.2.1-6
2022-03-14 19:06:48 install libitm1:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libitm1:amd64 10.2.1-6
2022-03-14 19:06:48 status unpacked libitm1:amd64 10.2.1-6
2022-03-14 19:06:48 install libatomic1:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libatomic1:amd64 10.2.1-6
2022-03-14 19:06:48 status unpacked libatomic1:amd64 10.2.1-6
2022-03-14 19:06:48 install libasan6:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libasan6:amd64 10.2.1-6
2022-03-14 19:06:48 status unpacked libasan6:amd64 10.2.1-6
2022-03-14 19:06:48 install liblsan0:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed liblsan0:amd64 10.2.1-6
